date,open,high,low,close,volume
2021-08-29 09:00:00,25.743,26.587,25.169,25.779,507243.1
2021-08-30 09:00:00,25.779,26.494,24.35,25.036,727835.8
2021-08-31 09:00:00,25.036,27.542,24.733,26.739,1199198.2
2021-09-01 09:00:00,26.739,29.85,26.132,29.754,1514472.7
2021-09-02 09:00:00,29.754,30.91,28.818,29.987,1457044.5
2021-09-03 09:00:00,29.987,31.794,29.103,30.785,1554828.3999999999
2021-09-04 09:00:00,30.785,31.2,29.469,29.896,1004229.2
2021-09-05 09:00:00,29.896,33.643,29.574,33.608,1527088.6000000001
2021-09-06 09:00:00,33.608,36.375,32.5,34.843,2989122.8999999999
2021-09-07 09:00:00,34.843,35.39,24.017,28.237,5976049.2999999998
2021-09-08 09:00:00,28.237,29.203,25.199,27.161,2288323.2999999998
2021-09-09 09:00:00,27.161,30.197,26.502,28.008,2017089.3
2021-09-10 09:00:00,28.008,29.573,25.655,26.368,2859813.6000000001
2021-09-11 09:00:00,26.368,27.692,26.262,27.012,1111019.6000000001
2021-09-12 09:00:00,27.012,29.788,26.39,29.457,1521319.3999999999
2021-09-13 09:00:00,29.457,29.96,25.197,26.953,3022713.2999999998
2021-09-14 09:00:00,26.953,30.865,26.751,30.813,2094206.8999999999
2021-09-15 09:00:00,30.813,31.471,29.614,30.687,2407130.2000000002
2021-09-16 09:00:00,30.687,32.124,29.075,29.833,2394144.1000000001
2021-09-17 09:00:00,29.833,30.14,27.394,27.739,1860458.8999999999
2021-09-18 09:00:00,27.739,29.458,27.417,28.401,911376.8
2021-09-19 09:00:00,28.401,28.815,26.937,27.397,943559.4
2021-09-20 09:00:00,27.397,27.44,23,23.552,2413465.7000000002
2021-09-21 09:00:00,23.552,24.375,20.8,21.405,2667779.7000000002
2021-09-22 09:00:00,21.405,24.494,21.017,24.445,1460052.8
2021-09-23 09:00:00,24.445,25.467,23.403,25.42,1530524.3999999999
2021-09-24 09:00:00,25.42,25.486,21.352,23.26,2248266.7999999998
2021-09-25 09:00:00,23.26,24.684,22.034,24.496,1980393.3999999999
2021-09-26 09:00:00,24.496,25.358,22.353,24.607,3513007
2021-09-27 09:00:00,24.607,25.454,22.965,23.009,1454036
2021-09-28 09:00:00,23.009,23.731,21.988,22.083,1513752.7
2021-09-29 09:00:00,22.083,23.919,22.011,22.849,1203623.8
2021-09-30 09:00:00,22.849,24.377,22.715,23.984,1142083
2021-10-01 09:00:00,23.984,26.684,23.581,26.306,1416137.8999999999
2021-10-02 09:00:00,26.306,27.809,25.851,26.913,977837.1
2021-10-03 09:00:00,26.913,28.189,26.517,27.573,1156802.3999999999
2021-10-04 09:00:00,27.573,27.681,25.601,26.621,1141106.1000000001
2021-10-05 09:00:00,26.621,27.511,26.213,27.253,1304923.2
2021-10-06 09:00:00,27.253,28.208,25.213,26.807,1831194.8
2021-10-07 09:00:00,26.807,27.743,25.92,26.842,1635615
2021-10-08 09:00:00,26.842,27.465,26.134,26.352,1287983.7
2021-10-09 09:00:00,26.352,27.927,26.051,27.469,1417079.2
2021-10-10 09:00:00,27.469,27.504,25.461,25.555,1303176.3999999999
2021-10-11 09:00:00,25.555,26.792,24.641,25.225,1120232.7
2021-10-12 09:00:00,25.225,25.244,23.543,24.654,1366597.3999999999
2021-10-13 09:00:00,24.654,25.682,24.179,25.682,1400624.1000000001
2021-10-14 09:00:00,25.682,27.912,25.426,26.751,2279625.6000000001
2021-10-15 09:00:00,26.751,27.415,26.044,27.021,1796335.3999999999
2021-10-16 09:00:00,27.021,28.732,26.971,27.245,1826861.5
2021-10-17 09:00:00,27.245,27.654,25.575,26.55,1479050.5
2021-10-18 09:00:00,26.55,26.765,25.286,25.743,1116056
2021-10-19 09:00:00,25.743,26.299,25.39,25.945,912169.6
2021-10-20 09:00:00,25.945,27.681,25.9,27.51,1065529.2
2021-10-21 09:00:00,27.51,29.37,27.205,28.311,2860932.6000000001
2021-10-22 09:00:00,28.311,30.05,28.059,28.692,2014929.2
2021-10-23 09:00:00,28.692,31.485,28.35,31.403,1967342.8
2021-10-24 09:00:00,31.403,31.527,28.751,29.723,1225135.5
2021-10-25 09:00:00,29.723,32.912,29.566,32.388,1954045.5
2021-10-26 09:00:00,32.388,33.864,31.346,32.542,1742927.5
2021-10-27 09:00:00,32.542,33.949,27.75,28.859,3437149
2021-10-28 09:00:00,28.859,30.853,28.627,30.199,1975577.8999999999
2021-10-29 09:00:00,30.199,31.976,29.98,30.98,1582786.7
2021-10-30 09:00:00,30.98,31.143,29.171,29.8,1053219.8999999999
2021-10-31 09:00:00,29.8,30.712,28.688,30.024,1052080
2021-11-01 09:00:00,30.024,31.899,29.188,31.705,1495517
2021-11-02 09:00:00,31.705,32.502,31.031,32.28,861250.8
2021-11-03 09:00:00,32.28,32.822,30.59,31.977,1429351.8
2021-11-04 09:00:00,31.977,32.148,30.236,31.025,1116673.8
2021-11-05 09:00:00,31.025,33.711,30.7,32.876,1836038.6000000001
2021-11-06 09:00:00,32.876,33.215,30.743,32.034,1186144.8999999999
2021-11-07 09:00:00,32.034,32.629,31.719,32.342,890226.1
2021-11-08 09:00:00,32.342,34.851,32.241,34.514,1942602.3
2021-11-09 09:00:00,34.514,35.661,33.415,33.866,1717739.3
2021-11-10 09:00:00,33.866,38.393,31.68,34.295,5250088.4000000004
2021-11-11 09:00:00,34.295,36.956,33.416,34.696,2857460.6000000001
2021-11-12 09:00:00,34.696,35.485,32.685,34.27,2398705.5
2021-11-13 09:00:00,34.27,34.581,33.196,33.996,1107576
2021-11-14 09:00:00,33.996,34.417,32.55,33.765,967931.9
2021-11-15 09:00:00,33.765,34.5,32.014,32.064,1089458.6000000001
2021-11-16 09:00:00,32.064,32.064,27.828,29.153,3670396.7999999998
2021-11-17 09:00:00,29.153,29.731,28.035,29.224,1725488.7
2021-11-18 09:00:00,29.224,29.711,25.835,26.543,2799232
2021-11-19 09:00:00,26.543,28.819,26.099,28.263,1181182.2
2021-11-20 09:00:00,28.263,28.727,27.289,28.377,836563.2
2021-11-21 09:00:00,28.377,29.25,27.716,29.013,837574.9
2021-11-22 09:00:00,29.013,29.085,26.314,26.802,1030557.5
2021-11-23 09:00:00,26.802,27.569,26.188,26.973,810828.3
2021-11-24 09:00:00,26.973,27.171,25.187,25.612,1014796.4
2021-11-25 09:00:00,25.612,27.6,25.421,26.413,1063395.3
2021-11-26 09:00:00,26.413,26.591,22.824,23.984,2346708.8999999999
2021-11-27 09:00:00,23.984,24.988,23.793,24.116,711117.2
2021-11-28 09:00:00,24.116,24.975,22.658,24.763,984571.5
2021-11-29 09:00:00,24.763,25.595,24.55,24.994,745149.2
2021-11-30 09:00:00,24.994,26.507,24.169,25.323,1019924.1
2021-12-01 09:00:00,25.323,26.892,24.987,25.367,915577.3
2021-12-02 09:00:00,25.367,25.367,24.183,24.554,740559.3
2021-12-03 09:00:00,24.554,25.842,22.449,23.307,1381750.3
2021-12-04 09:00:00,23.307,23.352,15.023,20.65,5891974.2999999998
2021-12-05 09:00:00,20.65,20.918,18.465,19.474,1544578.6000000001
2021-12-06 09:00:00,19.474,19.909,17.223,19.823,1688726.8999999999
2021-12-07 09:00:00,19.823,21.153,19.691,21.078,1249279.8
2021-12-08 09:00:00,21.078,23.185,20.751,22.897,2541928
2021-12-09 09:00:00,22.897,23.035,20.25,20.253,1955915.6000000001
2021-12-10 09:00:00,20.253,20.866,18.466,18.548,1684644.8999999999
2021-12-11 09:00:00,18.548,20.184,18.158,19.954,1149694.5
2021-12-12 09:00:00,19.954,20.775,19.228,20.411,760628.8
2021-12-13 09:00:00,20.411,20.546,17.306,17.781,1921435.6000000001
2021-12-14 09:00:00,17.781,18.589,17.445,18.455,1121994.3999999999
2021-12-15 09:00:00,18.455,19.974,17.267,19.67,2133402.5
2021-12-16 09:00:00,19.67,20.344,18.705,18.771,1059160.2
2021-12-17 09:00:00,18.771,19.209,17.751,18.248,1759513.2
2021-12-18 09:00:00,18.248,19.977,17.818,19.54,1295652.8999999999
2021-12-19 09:00:00,19.54,20.36,18.813,18.871,1328117.3
2021-12-20 09:00:00,18.871,19.184,18.03,18.742,948563.4
2021-12-21 09:00:00,18.742,19.651,18.365,19.434,704270.3
2021-12-22 09:00:00,19.434,20.811,19.211,19.918,1252987
2021-12-23 09:00:00,19.918,22.211,19.567,22.145,2027118.1000000001
2021-12-24 09:00:00,22.145,22.653,21.202,21.469,1433838.6000000001
2021-12-25 09:00:00,21.469,22.376,21.3,22.108,862830.2
2021-12-26 09:00:00,22.108,23.573,21.14,22.977,1768303.8
2021-12-27 09:00:00,22.977,24.467,22.755,23.013,1590255.7
